Species	Genes	Alg.-Conn.	GCA.001674955.1.ASM167495v1	GCA.000802205.2.ASM80220v2	GCA.003164815.1.20120700.S1D	GCA.000698785.1.ASM69878v1	GCF.000026045.1.ASM2604v1	GCA.900696045.1.Nitrosocosmicus.franklandus.C13	GCA.007826885.1.ASM782688v1	GCF.000006805.1.ASM680v1	GCA.005877425.1.ASM587742v1	GCA.002317795.1.ASM231779v1	GCA.005877385.1.ASM587738v1	GCA.900177045.1.Candidatus.Nitrosotalea.koreensis.CS.whole.genome	GCA.001543015.1.ASM154301v1	GCA.002789395.1.ASM278939v1	GCA.000956175.1.ASM95617v1	GCA.000204585.1.ASM20458v1	GCA.900620265.1.Nitrosopumilaceae.archaeon.O2.Ibasta	GCA.000875775.1.ASM87577v1	GCA.003175215.1.ASM317521v1	GCA.000242875.3.ASM24287v3	GCA.000299395.1.ASM29939v1	GCA.900065925.1.NDEV.embl.gz	GCA.000685395.1.NKMY2	GCA.000299365.1.ASM29936v1	GCA.000328945.1.NSJ	GCA.000018465.1.ASM1846v1	GCA.002787055.1.ASM278705v1	GCA.000220175.2.ASM22017v1	GCA.000723185.1.APF.1883.PRJEB4650	GCA.000200715.1.ASM20071v1	GCA.005877205.1.ASM587720v1	GCA.900143675.1.Candidatus.Nitrosotalea.sinensis.Nd2.whole.genome	GCA.000955905.3.ASM95590v3	GCA.003569705.1.ASM356970v1	GCA.000270325.1.ASM27032v1	GCA.005877475.1.ASM587747v1	GCA.900167955.1.ASM90016795v1	GCA.005877295.1.ASM587729v1	GCA.006740685.1.ASM674068v1	GCA.002906215.1.ASM290621v1	GCA.001541925.1.ASM154192v1	GCA.007571135.1.ASM757113v1	GCF.000006175.1.ASM617v2	GCA.005877305.1.ASM587730v1	GCA.900248165.1.Nitrosocaldus.cavascurensis.SCU2.chromosome	GCA.002506665.1.ASM250666v1	GCA.002495315.1.ASM249531v1	GCA.001437625.1.ASM143762v1	GCA.002156965.1.ASM215696v1	GCA.003056285.1.ASM305628v1	GCA.002508395.1.ASM250839v1	GCA.003702495.1.ASM370249v1	GCA.001443365.1.ASM144336v1	GCA.003724255.1.ASM372425v1	GCA.003702545.1.ASM370254v1	GCA.005778305.1.ASM577830v1	GCA.007280335.1.ASM728033v1	GCA.005798405.1.ASM579840v1	GCA.003331425.1.ASM333142v1	GCA.005798385.1.ASM579838v1	GCA.001510275.1.ASM151027v1	GCA.003702465.1.ASM370246v1	GCA.003724325.1.ASM372432v1	GCA.003045125.1.CN25urea.metaspades	GCA.002737445.1.ASM273744v1	GCA.000812185.1.ASM81218v1	GCA.001627235.1.ASM162723v1	GCA.002737455.1.ASM273745v1	2500.S23.NADW.med.34.fa	5009.S15.AABW.high.53.fa	GCA.001510225.1.ASM151022v1	3770.S23.AABW.high.29.fa	4513.S07.AABW.high.2.fa	2505m.S07.NADW.high.18.fa	750m.S07.AAIW.high.7.fa
42	43	0.857	KV575202.1_10	CP012850.1_3557,CP012850.1_1125	*	*	NC_007426.1_354	LR216287.1_883	ML675579.1_118	NC_002607.1_1969	*	*	*	*	*	*	CP011070.1_955	CM001158.1_56	*	CP010868.1_1161	*	AEXL02000090.1_159	CP003843.1_1187	*	AVSQ01000012.1_196	CP003842.1_1157	AJVI01000001.1_19	CP000866.1_1054	CP024808.1_1667	AFPU01000001.1_443	CBTY010000006.1_51	*	*	FRFC01000003.1_781	*	BGOU01000007.1_249	*	*	*	*	CP035425.1_1759	*	*	*	*	*	*	*	*	LIAL01000039.1_9	CP021324.1_930	*	DAKA01000076.1_5	REGH01000034.1_11	*	*	REGK01000001.1_44	SXPA01000037.1_54	*	SYJQ01000031.1_22	QOOS01000009.1_23	SYJR01000107.1_25	*	REGF01000005.1_36	*	LXWN01000001.1_243	NSIR01000002.1_120	CP007026.1_651	LUPB01000086.1_8	NSIS01000002.1_73	1055514_contig_193_28	1055496_contig_306_47	LFEW01000008.1_3	1055517_contig_99_12	1055475_contig_1975_1	1055472_contig_842_10	*
67	67	1	KV575202.1_100	CP012850.1_2937	PLUF01000027.1_22	CP007536.1_1453	*	LR216287.1_398	ML675580.1_172	*	*	NVWC01000001.1_252	*	LT841358.1_563	LFLC01000034.1_14	PFTD01000098.1_6	CP011070.1_891	CM001158.1_759	UYNY01000031.1_121	CP010868.1_1113	BGKI01000007.1_269	AEXL02000090.1_106	CP003843.1_1281	LN890280.1_1042	AVSQ01000019.1_44	CP003842.1_1203	AJVI01000001.1_64	CP000866.1_1124	CP024808.1_346	AFPU01000001.1_1144	CBTY010000008.1_487	DP000238.1_372	VBPL01000026.1_33	FRFC01000004.1_210	CP011097.2_819	BGOU01000008.1_24	*	VBPD01000020.1_33	FUYK01000014.1_44	VBPH01000046.1_17	CP035425.1_1704	CP024014.1_1086	LQMW01000026.1_23	RKRY01000005.1_5	*	VBPW01000004.1_5	LT981265.1_781	DAXZ01000047.1_11	DAEN01000067.1_3	LIAL01000014.1_3	CP021324.1_586	*	DAKA01000095.1_11	REGH01000007.1_18	LDXL01000006.1_30	RHFE01000071.1_7	REGK01000049.1_3	SXPA01000027.1_22	QYQE01000060.1_6	SYJQ01000057.1_29	QOOS01000003.1_34	SYJR01000095.1_12	LFEY01000015.1_19	REGF01000010.1_17	RHFD01000056.1_12	LXWN01000001.1_442	NSIR01000001.1_267	CP007026.1_849	LUPB01000084.1_30	NSIS01000012.1_125	1055514_contig_350_23	1055496_contig_1003_26	LFEW01000007.1_15	1055517_contig_144_37	*	1055472_contig_2162_8	1055469_contig_780_6
74	74	1	KV575202.1_101	CP012850.1_2927	PLUF01000056.1_16	CP007536.1_1441	NC_007426.1_154	LR216287.1_388	ML675580.1_162	NC_002607.1_2098	VBPF01000032.1_1	NVWC01000001.1_253	VBPO01000014.1_33	LT841358.1_562	LFLC01000034.1_13	PFTD01000098.1_7	CP011070.1_890	CM001158.1_760	UYNY01000031.1_122	CP010868.1_1112	BGKI01000007.1_270	AEXL02000090.1_105	CP003843.1_1282	LN890280.1_1043	AVSQ01000019.1_45	CP003842.1_1204	AJVI01000001.1_65	CP000866.1_1125	CP024808.1_345	AFPU01000001.1_1145	CBTY010000008.1_488	DP000238.1_371	VBPL01000026.1_32	FRFC01000004.1_209	CP011097.2_818	BGOU01000008.1_25	BA000048.1_413	VBPD01000020.1_34	FUYK01000014.1_45	VBPH01000046.1_16	CP035425.1_1703	CP024014.1_1087	LQMW01000026.1_24	RKRY01000005.1_4	NC_014222.1_1021	VBPW01000004.1_6	LT981265.1_780	DAXZ01000047.1_10	DAEN01000026.1_44	LIAL01000014.1_4	CP021324.1_585	NDWU01000014.1_21	DAKA01000095.1_10	REGH01000007.1_19	LDXL01000006.1_31	RHFE01000071.1_8	REGK01000049.1_4	SXPA01000027.1_21	QYQE01000060.1_7	SYJQ01000057.1_28	QOOS01000003.1_35	SYJR01000095.1_11	LFEY01000015.1_18	REGF01000010.1_18	RHFD01000056.1_11	LXWN01000001.1_443	NSIR01000001.1_266	CP007026.1_850	LUPB01000084.1_29	NSIS01000012.1_124	1055514_contig_412_23	1055496_contig_1212_10	LFEW01000007.1_16	1055517_contig_447_12	1055475_contig_4315_8	1055472_contig_595_8	*
73	73	1	KV575202.1_102	CP012850.1_2928	PLUF01000043.1_104	CP007536.1_1442	NC_007426.1_153	LR216287.1_389	ML675580.1_163	NC_002607.1_2099	VBPF01000032.1_2	NVWC01000001.1_254	VBPO01000014.1_32	LT841358.1_561	LFLC01000034.1_12	PFTD01000098.1_8	CP011070.1_889	CM001158.1_761	UYNY01000031.1_123	CP010868.1_1111	BGKI01000007.1_271	AEXL02000090.1_104	CP003843.1_1283	LN890280.1_1044	AVSQ01000019.1_46	CP003842.1_1205	AJVI01000001.1_66	CP000866.1_1126	CP024808.1_344	AFPU01000001.1_1146	CBTY010000008.1_489	DP000238.1_370	VBPL01000026.1_31	FRFC01000004.1_208	CP011097.2_817	BGOU01000008.1_26	BA000048.1_412	VBPD01000020.1_35	FUYK01000014.1_46	VBPH01000046.1_15	CP035425.1_1702	CP024014.1_1088	LQMW01000026.1_25	RKRY01000005.1_3	NC_014222.1_1022	VBPW01000004.1_7	LT981265.1_779	DAXZ01000047.1_9	*	LIAL01000014.1_5	CP021324.1_584	NDWU01000014.1_20	DAKA01000095.1_9	REGH01000007.1_20	LDXL01000006.1_32	RHFE01000071.1_9	REGK01000049.1_5	SXPA01000027.1_20	QYQE01000060.1_8	SYJQ01000057.1_27	QOOS01000003.1_36	SYJR01000095.1_10	LFEY01000015.1_17	REGF01000010.1_19	RHFD01000056.1_10	LXWN01000001.1_444	NSIR01000001.1_265	CP007026.1_851	LUPB01000084.1_28	NSIS01000012.1_123	1055514_contig_28_25	1055496_contig_1335_5	LFEW01000007.1_17	1055517_contig_880_18	*	1055472_contig_33_33	1055469_contig_179_25
65	67	0.925	KV575202.1_104	CP012850.1_2861,CP012850.1_2207	*	CP007536.1_1443	*	LR216287.1_2815,LR216287.1_1445	ML675582.1_24	*	VBPF01000032.1_3	NVWC01000001.1_255	VBPO01000013.1_29	LT841358.1_560	LFLC01000034.1_11	PFTD01000098.1_9	CP011070.1_888	CM001158.1_762	UYNY01000031.1_124	CP010868.1_1110	BGKI01000007.1_272	AEXL02000090.1_103	CP003843.1_1284	LN890280.1_1045	AVSQ01000019.1_47	CP003842.1_1206	AJVI01000001.1_67	CP000866.1_1127	CP024808.1_343	AFPU01000001.1_1147	CBTY010000008.1_490	DP000238.1_515	VBPL01000026.1_30	FRFC01000004.1_207	CP011097.2_816	BGOU01000008.1_27	BA000048.1_378	VBPD01000020.1_36	FUYK01000014.1_47	VBPH01000046.1_14	CP035425.1_1701	CP024014.1_1084	LQMW01000026.1_26	RKRY01000005.1_2	NC_014222.1_1199	VBPW01000004.1_8	LT981265.1_783	DAXZ01000047.1_8	DAEN01000084.1_10	LIAL01000014.1_6	CP021324.1_583	NDWU01000022.1_30	DAKA01000095.1_8	REGH01000007.1_21	LDXL01000006.1_33	RHFE01000071.1_10	REGK01000049.1_6	SXPA01000027.1_19	*	SYJQ01000057.1_26	QOOS01000003.1_37	SYJR01000095.1_9	LFEY01000015.1_16	REGF01000010.1_20	RHFD01000056.1_9	LXWN01000001.1_445	NSIR01000001.1_264	CP007026.1_852	LUPB01000084.1_27	NSIS01000012.1_122	*	*	LFEW01000007.1_18	*	*	*	*
75	75	0.973	KV575202.1_107	CP012850.1_3269	PLUF01000048.1_4	CP007536.1_848	NC_007426.1_1728	LR216287.1_643	ML675584.1_21	NC_002607.1_707	VBPF01000092.1_6	NVWC01000001.1_257	VBPO01000029.1_22	LT841358.1_790	LFLC01000034.1_9	PFTD01000098.1_11	CP011070.1_885	CM001158.1_764	UYNY01000031.1_126	CP010868.1_1108	BGKI01000007.1_274	AEXL02000090.1_101	CP003843.1_1286	LN890280.1_776	AVSQ01000019.1_50	CP003842.1_1208	AJVI01000001.1_69	CP000866.1_1129	CP024808.1_340	AFPU01000001.1_1149	CBTY010000008.1_493	DP000238.1_939	VBPL01000035.1_10	FRFC01000005.1_53	CP011097.2_813	BGOU01000008.1_29	BA000048.1_965	VBPD01000006.1_1	FUYK01000007.1_424	VBPH01000010.1_14	CP035425.1_1699	CP024014.1_1466	LQMW01000026.1_28	RKRY01000110.1_2	NC_014222.1_195	VBPW01000007.1_27	LT981265.1_400	DAXZ01000047.1_6	DAEN01000064.1_16	LIAL01000014.1_8	CP021324.1_581	NDWU01000018.1_13	DAKA01000095.1_6	REGH01000007.1_23	LDXL01000006.1_35	RHFE01000071.1_12	REGK01000049.1_8	SXPA01000027.1_17	QYQE01000055.1_2	SYJQ01000057.1_23	QOOS01000003.1_39	SYJR01000095.1_7	LFEY01000015.1_14	REGF01000010.1_22	RHFD01000056.1_7	LXWN01000001.1_447	NSIR01000001.1_262	CP007026.1_854	LUPB01000084.1_25	NSIS01000012.1_120	1055514_contig_302_9	1055496_contig_1081_11	LFEW01000007.1_20	1055517_contig_355_21	1055475_contig_937_17	1055472_contig_522_17	1055469_contig_1845_2
72	73	0.833	KV575202.1_108	CP012850.1_2348	PLUF01000048.1_13	CP007536.1_470	*	LR216287.1_2939	ML675587.1_50	*	VBPF01000154.1_55	NVWC01000001.1_258	VBPO01000014.1_181	LT841358.1_791	LFLC01000034.1_8	PFTD01000098.1_12	CP011070.1_884	CM001158.1_765	UYNY01000031.1_127	CP010868.1_1107	BGKI01000007.1_275	AEXL02000090.1_100	CP003843.1_1287	LN890280.1_775	AVSQ01000019.1_51	CP003842.1_1209	AJVI01000001.1_70	CP000866.1_1130	CP024808.1_339	AFPU01000001.1_1150	CBTY010000008.1_494	DP000238.1_950	VBPL01000035.1_11	FRFC01000005.1_54	CP011097.2_812	BGOU01000008.1_30	BA000048.1_1536	VBPD01000006.1_2	FUYK01000007.1_423,FUYK01000005.1_33	VBPH01000010.1_15	CP035425.1_1698	CP024014.1_1337	LQMW01000026.1_29	RKRY01000110.1_3	*	VBPW01000007.1_28	LT981265.1_529	DAXZ01000047.1_5	DAEN01000064.1_14	LIAL01000014.1_9	CP021324.1_580	NDWU01000005.1_106	DAKA01000095.1_5	REGH01000007.1_24	LDXL01000006.1_36	RHFE01000071.1_13	REGK01000049.1_9	SXPA01000027.1_16	QYQE01000055.1_1	SYJQ01000057.1_22	QOOS01000003.1_40	SYJR01000095.1_6	LFEY01000015.1_13	REGF01000010.1_23	RHFD01000056.1_6	LXWN01000001.1_448	NSIR01000001.1_261	CP007026.1_855	LUPB01000084.1_24	NSIS01000012.1_119	1055514_contig_302_10	1055496_contig_1081_12	LFEW01000007.1_21	1055517_contig_355_20	1055475_contig_937_16	1055472_contig_522_16	1055469_contig_1845_3
74	74	0.27	KV575202.1_109	CP012850.1_2347	PLUF01000048.1_14	CP007536.1_471	NC_007426.1_222	LR216287.1_2940	ML675587.1_51	NC_002607.1_1745	VBPF01000154.1_54	NVWC01000001.1_259	VBPO01000014.1_180	LT841358.1_792	LFLC01000034.1_7	PFTD01000067.1_2	CP011070.1_883	CM001158.1_766	UYNY01000031.1_128	CP010868.1_1106	BGKI01000007.1_276	AEXL02000090.1_99	CP003843.1_1288	LN890280.1_774	AVSQ01000019.1_52	CP003842.1_1210	AJVI01000001.1_71	CP000866.1_1131	CP024808.1_338	AFPU01000001.1_1151	CBTY010000008.1_495	DP000238.1_951	VBPL01000035.1_12	FRFC01000005.1_55	CP011097.2_811	BGOU01000008.1_31	BA000048.1_1535	VBPD01000006.1_3	FUYK01000007.1_422	VBPH01000010.1_16	CP035425.1_1697	CP024014.1_1338	LQMW01000026.1_30	RKRY01000110.1_4	*	VBPW01000007.1_29	LT981265.1_528	DAXZ01000047.1_4	DAEN01000064.1_13	LIAL01000014.1_10	CP021324.1_579	NDWU01000005.1_107	DAKA01000095.1_4	REGH01000007.1_25	LDXL01000006.1_37	RHFE01000071.1_14	REGK01000049.1_10	SXPA01000027.1_15	QYQE01000037.1_1	SYJQ01000057.1_21	QOOS01000003.1_41	SYJR01000095.1_5	LFEY01000015.1_12	REGF01000010.1_24	RHFD01000056.1_5	LXWN01000001.1_449	NSIR01000001.1_260	CP007026.1_856	LUPB01000084.1_23	NSIS01000012.1_118	1055514_contig_302_11	1055496_contig_1081_13	LFEW01000007.1_22	1055517_contig_355_19	1055475_contig_937_15	1055472_contig_522_15	1055469_contig_1845_4
59	59	0.932	KV575202.1_111	CP012850.1_2338	*	CP007536.1_527	*	LR216287.1_2949	ML675587.1_60	*	*	NVWC01000001.1_277	VBPO01000014.1_178	LT841358.1_795	LFLC01000034.1_3	PFTD01000067.1_5	CP011070.1_880	CM001158.1_769	UYNY01000031.1_131	CP010868.1_1103	BGKI01000007.1_279	AEXL02000090.1_96	CP003843.1_1291	LN890280.1_771	AVSQ01000020.1_5	CP003842.1_1214	AJVI01000001.1_75	CP000866.1_1135	CP024808.1_330	AFPU01000001.1_1154	CBTY010000008.1_498	DP000238.1_1097	VBPL01000035.1_15	FRFC01000005.1_58	CP011097.2_808	BGOU01000008.1_34	*	VBPD01000006.1_6	FUYK01000007.1_419	VBPH01000010.1_20	CP035425.1_1694	CP024014.1_1443	LQMW01000026.1_33	RKRY01000110.1_7	*	*	LT981265.1_423	*	*	LIAL01000014.1_13	CP021324.1_576	*	DAKA01000099.1_1	REGH01000007.1_28	LDXL01000006.1_40	RHFE01000071.1_18	REGK01000075.1_2	SXPA01000027.1_12	QYQE01000037.1_4	SYJQ01000057.1_18	QOOS01000003.1_44	SYJR01000095.1_2	LFEY01000015.1_9	REGF01000010.1_27	RHFD01000056.1_1	LXWN01000001.1_452	NSIR01000001.1_254	CP007026.1_859	LUPB01000084.1_20	NSIS01000012.1_115	*	*	LFEW01000007.1_25	*	*	*	*
57	57	0.769	KV575202.1_116	CP012850.1_625	*	CP007536.1_977	*	LR216287.1_1590	ML675593.1_40	NC_002607.1_111	VBPF01000073.1_11	*	VBPO01000015.1_77	LT841358.1_848	LFLC01000016.1_3	PFTD01000083.1_3	CP011070.1_876	*	UYNY01000031.1_134	CP010868.1_1054	BGKI01000007.1_283	AEXL02000090.1_91	CP003843.1_1295	LN890280.1_723	AVSQ01000020.1_11	CP003842.1_1319	AJVI01000001.1_176	CP000866.1_1142	*	AFPU01000001.1_1158	*	DP000238.1_1099	VBPL01000035.1_62	FRFC01000005.1_105	*	BGOU01000008.1_40	BA000048.1_100	VBPD01000048.1_10	FUYK01000007.1_373	VBPH01000068.1_28	CP035425.1_1675	CP024014.1_1435	LQMW01000026.1_37	RKRY01000110.1_10	*	VBPW01000064.1_10	LT981265.1_431	*	*	LIAL01000014.1_17	CP021324.1_572	*	DAKA01000099.1_5	REGH01000007.1_32	LDXL01000006.1_45	RHFE01000060.1_19	REGK01000030.1_24	SXPA01000027.1_8	QYQE01000040.1_4	SYJQ01000057.1_4	QOOS01000003.1_48	SYJR01000102.1_39	LFEY01000015.1_5	REGF01000010.1_31	RHFD01000032.1_3	LXWN01000001.1_131	NSIR01000001.1_242	CP007026.1_554	*	NSIS01000012.1_111	*	*	LFEW01000007.1_29	*	*	*	*
